airport,airport_name,city,state,lat,long,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,602,46,19.96,0,16.67,0,9.37,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,1310,160,47.19,3.56,40.69,0,68.56,1,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,504,58,14.64,0,15.82,0,27.54,0,0
ATL,Hartsfield-Jackson Atlanta International (ATL),Atlanta,GA ,33.64083,-84.41727,3410,287,108.81,1.01,42.52,0.36,134.31,2,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1965,322,109.4,5.95,113.71,0,92.94,47,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,106,19,2.82,3.51,8.95,0,3.72,1,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,3790,827,250.92,6.29,212.41,2.48,354.91,62,5
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1222,236,83.56,16.78,77.62,0,58.05,8,2
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,149,41,16.43,0,9.25,0,15.33,6,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,341,65,11.81,0,42.17,0.88,10.14,22,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,5,0,0,0,0,0,0,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,851,172,65.69,2.89,39.91,0,63.51,3,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,141,35,11.95,5.18,7.81,0,10.06,3,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,885,148,44.68,4.52,26.9,0,71.9,17,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,131,18,7.75,0,6.35,0,3.9,11,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,320,62,10.26,0,32.32,0,19.41,25,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,3,0,0,0,0,0,0,0,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,800,142,38.62,3.22,47.38,1,51.78,44,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,126,25,5.65,4.49,5.65,0,9.21,7,0
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1897,250,79.54,7.54,102,0.51,60.4,121,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,96,14,6.63,1,3.37,0,3,4,1
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,3456,805,208.39,6.85,248.39,1.16,340.21,217,4
BOS,Logan International (BOS),Boston,MA,42.36589,-71.01755,1202,156,51.08,7.13,46.28,0,51.5,51,3
